,pid,workload,n_ica,alpha,theta,beta,interval,alpha_theta_ratio,beta_theta_ratio
0,1,low,0,1.285121416287662,3.164314139347315,-1.4396459076709391,0.0,0.40612953066434065,-0.4549630170308839
1,1,high,0,2.075274968646001,3.7035053426442475,5.764936089794545,1.0,0.5603542526994941,1.5566161126902727
2,1,low,0,8.538782346902737,4.835963947522903,5.4805791954662695,2.0,1.7656836236913027,1.1332961235729546
3,1,high,0,1.9406134467297922,2.877173535913698,7.19103358865417,3.0,0.6744860615831835,2.4993395423993876
4,1,low,0,1.9040739600998757,4.52995881959211,1.915913564491469,4.0,0.42032919854916556,0.42294282151200285
5,1,high,0,0.23325869839903843,1.946110831449943,-2.5439229244592587,5.0,0.11985889736056289,-1.3071829637595296
6,1,low,0,1.977867965571422,3.5990057470947563,4.646181384117965,6.0,0.5495595463185983,1.2909624798094657
7,1,high,0,2.0833056401121146,4.365832604121129,7.070068185071037,7.0,0.4771840400260829,1.619408902301303
8,1,low,1,-0.868915841320299,-1.3007856613500377,-21.015405092515824,8.0,0.6679930961250626,16.155932308405603
9,4,low,0,5.103104393441361,6.020814263906347,7.710586299150953,0.0,0.8475771166092128,1.2806550677662443
10,4,high,0,5.395140635138833,7.284664490153175,11.261975807526658,1.0,0.7406162140248944,1.5459841455635595
11,5,low,0,4.149842723308976,5.478948622066282,7.111791054409035,0.0,0.7574158857039877,1.2980211250323712
12,5,high,0,10.723285010127018,15.611430528534859,33.64945934411561,1.0,0.6868867648308591,2.15543727928139
13,5,low,0,6.375570338549562,12.488514126669443,18.729955303880658,2.0,0.5105147236799308,1.4997745219251108
14,5,high,0,15.199085476575574,22.3731140171321,53.36438321480515,3.0,0.6793459982788694,2.3852014151423733
15,5,low,0,4.517421490979871,7.139928714654626,11.539017558230904,4.0,0.6326984023955186,1.6161250370115314
16,5,high,0,23.36711937926679,29.894554840071436,89.11509268281746,5.0,0.7816513577230091,2.980980755845385
17,5,low,0,10.142220298036333,14.849850921729498,36.49596454214334,6.0,0.6829846542900588,2.4576653822658585
