,pid,workload,n_ica,alpha,theta,beta,interval_id
0,1,low,0,1.285121416287662,3.164314139347315,-1.4396459076709391,0.0
1,1,high,0,2.075274968646001,3.7035053426442475,5.764936089794545,1.0
2,1,low,0,8.538782346902737,4.835963947522903,5.4805791954662695,2.0
3,1,high,0,1.9406134467297922,2.877173535913698,7.19103358865417,3.0
4,1,low,0,1.9040739600998757,4.52995881959211,1.915913564491469,4.0
5,1,high,0,0.23325869839903843,1.946110831449943,-2.5439229244592587,5.0
6,1,low,0,1.977867965571422,3.5990057470947563,4.646181384117965,6.0
7,1,high,0,2.0833056401121146,4.365832604121129,7.070068185071037,7.0
8,1,low,1,-0.868915841320299,-1.3007856613500377,-21.015405092515824,8.0
9,4,low,0,5.103104393441361,6.020814263906347,7.710586299150953,0.0
10,4,high,0,5.395140635138833,7.284664490153175,11.261975807526658,1.0
11,5,low,0,4.149842723308976,5.478948622066282,7.111791054409035,0.0
12,5,high,0,10.723285010127018,15.611430528534859,33.64945934411561,1.0
13,5,low,0,6.375570338549562,12.488514126669443,18.729955303880658,2.0
14,5,high,0,15.199085476575574,22.3731140171321,53.36438321480515,3.0
15,5,low,0,4.517421490979871,7.139928714654626,11.539017558230904,4.0
16,5,high,0,23.36711937926679,29.894554840071436,89.11509268281746,5.0
17,5,low,0,10.142220298036333,14.849850921729498,36.49596454214334,6.0
18,5,high,0,6.179368575577703,13.735995024816106,22.276516006193393,7.0
19,5,low,0,10.585273451928549,17.69243353658544,37.55379533346226,8.0
20,5,high,0,8.058116795111346,11.181065267202726,28.18435361632596,9.0
21,6,low,0,-274.07330111241953,-inf,-inf,0.0
22,6,high,0,9.729347259537503,13.20219958301379,34.64416419692215,1.0
23,6,low,0,7.175224293222493,11.052453245375727,27.265631287630043,2.0
24,6,high,0,11.945476167159438,11.035469290605452,25.006736784952583,3.0
25,6,low,0,15.678249272313284,10.431499558014096,23.114629970852594,4.0
26,6,high,0,16.064902963011896,9.399681245194893,22.267628172476506,5.0
27,6,low,0,18.172704288154243,10.258748628061209,25.2793043926487,6.0
28,6,high,0,14.888044862414626,11.057933202774725,23.95241278114358,7.0
29,6,low,0,12.324328603018854,12.192423281240268,26.193930034260447,8.0
30,6,high,0,17.195919101328187,13.475298919378847,34.687521861713655,9.0
31,6,low,0,11.79132864157051,9.460918933229237,18.925888484460184,10.0
32,6,high,0,11.250519692590391,11.070637011560923,23.619969906804204,11.0
33,6,low,0,12.886741293113717,10.434090928334259,22.746438886868344,12.0
34,6,high,0,13.361226988722233,12.695242838850175,28.160683658481258,13.0
35,7,low,0,4.445622015782984,10.02334677729819,10.853554441929566,0.0
36,7,high,0,13.126561150045633,15.573788991951922,29.672883270545682,1.0
37,7,low,0,5.5176877144445395,11.48136084830431,13.032392615481083,2.0
38,7,high,0,9.228913429756755,16.50415711178988,26.03256401796471,3.0
39,7,low,0,7.9494862556994885,10.828420173291764,14.825426309398146,4.0
40,7,high,0,6.793598087081324,12.30444768998428,19.5200513556214,5.0
41,7,low,0,5.332867260322464,11.68759097335925,15.634752764302075,6.0
42,7,high,0,5.7026942875631805,9.651920235213128,13.846860956684742,7.0
