pid,workload,interval,tonic_avg,amplitude_avg,peaks_num,tonic_avg_norm,amplitude_avg_norm
4,low,0.0,174845.24975610644,1.5844211219214233,4.0,0.04336379645817926,0.08174209619515777
4,high,1.0,171962.90067890767,2.08935140751241,3.0,0.02461476031069591,0.10779202661174676
5,low,0.0,204700.50711778307,5.5572440406567605,4.0,0.23756556885782812,0.2867045703104812
5,high,1.0,189605.58248874958,5.19068475018716,4.0,0.13937645992854614,0.26779335764849743
5,low,2.0,185861.3866743563,1.5558900177844086,4.0,0.11502130349636965,0.08027014393028663
5,high,3.0,184095.44155107168,1.5707060715889571,3.0,0.10353422539994657,0.08103452107634193
5,low,4.0,194429.82306293485,1.3807579655803945,4.0,0.17075706598527668,0.07123488123399327
5,high,5.0,202465.48498433628,4.3991645196101405,4.0,0.2230272497132419,0.2269579244842526
5,low,6.0,204457.5028825134,2.1319018408974197,2.0,0.23598488065211967,0.10998725209238486
5,high,7.0,204773.34996414607,1.7808705138875556,2.0,0.23803939528306897,0.09187714480906549
5,low,8.0,199904.14430992867,1.6787130503730194,7.0,0.20636630143658183,0.08660672453119654
5,high,9.0,209248.95505164587,4.8492539084025434,5.0,0.26715220546668,0.25017855036840625
7,low,0.0,219033.97408131152,0.2049328657743508,3.0,0.3308015659630534,0.010572720721724327
7,high,1.0,220619.26892128258,1.3606005859559096,3.0,0.3411135543665963,0.07019493898536382
7,low,2.0,228631.1300269825,3.6464094369576188,4.0,0.3932289191111645,0.18812242959829892
7,high,3.0,229150.8362196534,4.051930926552334,5.0,0.39660949166899206,0.20904374663518377
7,low,4.0,228978.94002813267,1.2901271937392627,3.0,0.395491345385486,0.06655913615108557
7,high,5.0,222282.03820447173,1.8083411696783414,2.0,0.35192949669712625,0.09329438733198223
7,low,6.0,235739.38318994053,3.0630955012497365,1.0,0.4394665162683018,0.15802859710332007
7,high,7.0,227247.28866228243,2.7871991339308058,4.0,0.384227340511823,0.14379478824704237
7,low,8.0,225083.6852140752,3.324407057170929,2.0,0.37015358394286474,0.1715099588735501
9,low,0.0,233426.37506350968,0.4323226525791923,19.0,0.4244209156799022,0.022304019660895864
9,high,1.0,225140.36625210053,2.833504302547833,2.0,0.37052228141924626,0.1461837248088296
9,low,2.0,221827.9556561446,0.5781293620831987,7.0,0.3489757912698847,0.02982635441727826
9,high,3.0,219156.74031277135,5.897627051347465,2.0,0.33160013284363665,0.30426531878708274
9,low,4.0,223977.50554191184,1.721073653284307,4.0,0.3629581325580664,0.08879215644077637
9,high,5.0,224542.67290511687,3.044145141128031,4.0,0.3666344198634219,0.15705092637009807
9,low,6.0,221017.6241966942,0.7064455452881553,9.0,0.3437047663461986,0.036446332935499016
9,high,7.0,216329.94418856152,1.8572367660126547,5.0,0.3132124562316546,0.09581696701978146
9,low,8.0,213937.68044837678,0.5316593160256735,17.0,0.297651315600268,0.027428911639930578
9,high,9.0,209411.14973220415,0.8582040568491419,4.0,0.26820724559099146,0.04427572796111478
9,low,10.0,203971.17666757904,0.25814221445734,10.0,0.2328214373844727,0.013317851822508968
9,high,11.0,209266.75736475663,4.313299593810286,2.0,0.26726800553221086,0.22252805484453828
9,low,12.0,247117.09639174663,3.2837078684412466,2.0,0.513475996169216,0.16941024122009435
10,low,0.0,,,,,
10,high,1.0,,,,,
10,high,3.0,,,,,
10,low,4.0,,,,,
10,high,5.0,213342.7487157642,0.0,1.0,0.29378141772832855,0.0
10,low,6.0,200231.52184868054,3.035331984520707,4.0,0.20849581911245552,0.15659624554994767
10,high,7.0,172473.65392236356,2.1297826080102786,3.0,0.027937095936089895,0.10987791844609354
10,low,8.0,171017.30596344682,1.525280148665564,2.0,0.018463878156520945,0.07869094580460179
10,high,9.0,169951.7799320948,3.159101370163965,4.0,0.011532869613544959,0.1629816495863428
10,low,10.0,169769.04522849785,0.1235686932194793,2.0,0.010344221232874696,0.006375050084921519
10,high,11.0,168178.79513295263,0.8240123106826998,4.0,0.0,0.042511736705539774
10,low,12.0,170370.09304552368,1.5496061243211798,2.0,0.014253902866139995,0.07994595068592464
10,high,13.0,169766.74074245844,1.0726770026518484,3.0,0.010329231066556484,0.05534063231293466
10,low,14.0,169450.19289695364,0.7954483428688323,5.0,0.008270158123335671,0.04103808896602652
10,high,15.0,168275.43071266985,1.3732839459452737,2.0,0.0006285928347763382,0.07084928802046828
10,low,16.0,178006.46333700634,2.759473703936251,2.0,0.06392678383783737,0.14236440163182315
11,low,0.0,,,,,
11,high,1.0,298404.4843479906,2.517615792998643,2.0,0.8470889850706668,0.12988667563594217
11,low,2.0,293730.1353739909,6.74530886457798,3.0,0.8166833903518464,0.3479981921761633
11,high,3.0,289697.57385433,7.112012961561753,4.0,0.7904524794961246,0.3669168755716833
11,low,4.0,290936.3190194801,4.917881576603298,3.0,0.7985102397662619,0.253719130191599
11,high,5.0,285238.2545484086,2.386647143543593,4.0,0.761445604679579,0.12312985335291057
11,low,6.0,291427.4204228047,7.634902153512701,3.0,0.8017047445664792,0.3938933264889934
11,high,7.0,288085.19418446027,5.672023166778269,1.0,0.779964310331259,0.2926261565849955
11,low,8.0,290475.2159595739,3.1368735975185635,3.0,0.7955108674812444,0.1618348933959298
11,high,9.0,305037.15984709706,13.290032866192933,2.0,0.8902330558811776,0.6856479820640936
11,low,10.0,320566.1687147004,16.010077387469195,4.0,0.9912457857050905,0.8259781871068301
11,high,11.0,301547.55129364564,10.657045422835767,3.0,0.8675339326463148,0.5498091511511731
11,low,12.0,296334.6375927664,0.8266485218932113,4.0,0.8336250948221041,0.04264774185428397
11,high,13.0,296311.4640883597,5.55473863288148,2.0,0.8334743563583898,0.2865753134604294
11,low,14.0,299524.62203569163,9.192402879440575,2.0,0.8543752302250099,0.4742465686929548
11,high,15.0,288112.84746785735,1.1066598338042528,7.0,0.7801441887554618,0.057093845404208636
12,low,0.0,,,,,
12,high,1.0,205043.97567992174,0.9746682547786799,6.0,0.2397997550422859,0.05028424901573394
12,low,2.0,214751.06964762628,2.8147420137408674,3.0,0.3029422304375238,0.1452157568896438
12,high,3.0,219432.38015997555,2.434141299750679,6.0,0.3333931084064512,0.12558013114312297
12,low,4.0,239857.2451950558,0.6693552431562124,3.0,0.4662522877055655,0.03453280186548902
12,high,5.0,235138.59917973215,4.339746558633411,3.0,0.43555855063938703,0.22389248398066353
12,low,6.0,230516.35895399944,0.42793500913310806,13.0,0.4054919116746029,0.022077656121759923
12,high,7.0,220068.40674885488,3.2906191984041957,3.0,0.33753031912807835,0.16976680463044752
12,low,8.0,223409.78610173805,1.667391309272301,3.0,0.35926524456276776,0.08602262297047682
13,low,0.0,,,,,
13,low,2.0,320590.6844116987,0.0,1.0,0.9914052548314495,0.0
13,high,3.0,254968.59707132538,11.121271335026691,4.0,0.5645482522043792,0.5737590964312369
13,low,4.0,246949.0798316928,0.9950787587609722,3.0,0.5123830860207732,0.05133725023922743
13,high,5.0,236074.57726171735,5.806570826512799,3.0,0.4416468787434373,0.29956762409807425
13,low,6.0,246375.7552486207,1.2359939596155494,4.0,0.5086537378244381,0.0637663407446917
13,high,7.0,243814.76150914858,9.529820760955978,3.0,0.4919950462819459,0.49165434276715464
13,low,8.0,231737.82089560243,1.120741307430851,2.0,0.4134372484407334,0.05782032471948
13,high,9.0,212957.65546511632,2.3689833617797156,2.0,0.2912764722539359,0.12221855866733976
13,low,10.0,220832.9025376729,4.2916539662804505,1.0,0.34250319326484946,0.22141133218585352
13,high,11.0,250662.77327648728,9.075797182517318,2.0,0.5365398313601658,0.46823074754355903
13,low,12.0,266089.2013769127,5.3711195810753765,4.0,0.6368852962344342,0.2771021967565847
13,high,13.0,321911.98197656876,19.38317214350176,5.0,1.0,1.0
13,low,14.0,311668.9883582665,12.785718841203044,2.0,0.9333716172245757,0.6596298452361151
